brand,description,is_sponsored,url,active_since,active_until
Sony,"During the New Year Sale, Sony sponsored exclusive discounts on Headphones. Customers rushed to grab the best deals from Sony as part of this e-commerce event.",sponsor,https://iaryanyadav.github.io/project_1/,2025-11-04 18:29:53,2025-11-04 18:31:54
Other,Partner with world-renowned brands and companies,non-sponsor,https://iaryanyadav.github.io/project_1/,2025-11-04 18:29:53,
Samsung,"During the Tech Summit, Samsung sponsored exclusive discounts on Smart Watch. Customers rushed to grab the best deals from Samsung as part of this e-commerce event.",sponsor,https://iaryanyadav.github.io/project_1/,2025-11-04 18:29:53,
Nike,"During the Summer Sale, Nike sponsored exclusive discounts on Running Shoes. Customers rushed to grab the best deals from Nike as part of this e-commerce event.",sponsor,https://iaryanyadav.github.io/project_1/,2025-11-04 18:29:53,
Other,Explore amazing deals from top brands across different events and categories,non-sponsor,https://iaryanyadav.github.io/project_1/,2025-11-04 18:29:53,
Adidas,"During the Spring Festival, Adidas sponsored exclusive discounts on Sports Gear. Customers rushed to grab the best deals from Adidas as part of this e-commerce event.",sponsor,https://iaryanyadav.github.io/project_1/,2025-11-04 18:29:53,2025-11-04 18:43:24
Other,We connect premium brands with savvy shoppers through exclusive sponsored events,non-sponsor,https://iaryanyadav.github.io/project_1/,2025-11-04 18:29:53,
Other,Your premier destination for exclusive sponsored deals and brand partnerships during major events.,non-sponsor,https://iaryanyadav.github.io/project_1/,2025-11-04 18:29:53,
Amazon,"During the Holiday Special, Amazon sponsored exclusive discounts on Echo Dot. Customers rushed to grab the best deals from Amazon as part of this e-commerce event.",sponsor,https://iaryanyadav.github.io/project_1/,2025-11-04 18:29:53,2025-11-04 19:00:08
Other,Don't miss out on exclusive deals from your favorite brands,non-sponsor,https://iaryanyadav.github.io/project_1/,2025-11-04 18:29:53,
Other,Access premium discounts from top brands during major events,non-sponsor,https://iaryanyadav.github.io/project_1/,2025-11-04 18:29:53,
Other,"Discover incredible discounts and sponsored offers during major events. 
      Your favorite brands, unbeatable prices, all in one place.",non-sponsor,https://iaryanyadav.github.io/project_1/,2025-11-04 18:29:53,
CocaCola,"During the Fashion Week, CocaCola sponsored exclusive discounts on Refrigerator. Customers rushed to grab the best deals from CocaCola as part of this e-commerce event.",sponsor,https://iaryanyadav.github.io/project_1/,2025-11-04 18:29:53,
Apple,"During the Black Friday, Apple sponsored exclusive discounts on AirPods. Customers rushed to grab the best deals from Apple as part of this e-commerce event.",sponsor,https://iaryanyadav.github.io/project_1/,2025-11-04 18:29:53,2025-11-04 18:43:24
Other,© 2025 SponsorEvents. All rights reserved.,non-sponsor,https://iaryanyadav.github.io/project_1/,2025-11-04 18:29:53,
Microsoft,"During the Cyber Monday, Microsoft sponsored exclusive discounts on Surface Laptop. Customers rushed to grab the best deals from Microsoft as part of this e-commerce event.",sponsor,https://iaryanyadav.github.io/project_1/,2025-11-04 18:31:54,2025-11-04 18:43:24
Sony,"During the New Year Sale, Sony sponsored exclusive discounts on Headphones. Customers rushed to grab the best deals from Sony as part of this e-commerce event.",sponsor,https://iaryanyadav.github.io/project_1/,2025-11-04 18:55:08,
Microsoft,"During the Cyber Monday, Microsoft sponsored exclusive discounts on Surface Laptop. Customers rushed to grab the best deals from Microsoft as part of this e-commerce event.",sponsor,https://iaryanyadav.github.io/project_1/,2025-11-04 19:00:08,
Adidas,"During the Spring Festival, Adidas sponsored exclusive discounts on Sports Gear. Customers rushed to grab the best deals from Adidas as part of this e-commerce event.",sponsor,https://iaryanyadav.github.io/project_1/,2025-11-04 19:00:08,
