brand_name,description,status
Ajio,Sponsored event by Ajio promoting new technology in ecommerce.,sponsor
Unacademy,Unacademy partners with us to bring exclusive offers in education.,sponsor
Samsung,Discussion on Samsung's performance in tech industry.,non-sponsor
Armani,Latest trends in clothes — Armani makes headlines.,non-sponsor
Flipkart,Sponsored event by Flipkart promoting new technology in ecommerce.,sponsor
Amazon,User review: Great experience with Amazon's latest ecommerce products.,non-sponsor
Myntra,Customer feedback highlights Myntra's role in ecommerce growth.,non-sponsor
Snapdeal,Sponsored event by Snapdeal promoting new technology in ecommerce.,sponsor
Dell,Dell is the title sponsor of this major tech event.,sponsor
Nvidia,Sponsored event by Nvidia promoting new technology in tech.,sponsor
Louis Vuitton,News update: Louis Vuitton launches a new product in clothes.,non-sponsor
Snapdeal,Customer feedback highlights Snapdeal's role in ecommerce growth.,non-sponsor
Snapdeal,Official sponsor: Snapdeal supports innovation in ecommerce.,sponsor
Dell,Dell partners with us to bring exclusive offers in tech.,sponsor
Alibaba,Discussion on Alibaba's performance in ecommerce industry.,non-sponsor
Simplilearn,Official sponsor: Simplilearn supports innovation in education.,sponsor
Intel,Discussion on Intel's performance in tech industry.,non-sponsor
Lenovo,Customer feedback highlights Lenovo's role in tech growth.,non-sponsor
Samsung,User review: Great experience with Samsung's latest tech products.,non-sponsor
Intel,Intel is the title sponsor of this major tech event.,sponsor
Puma,Discussion on Puma's performance in sports industry.,non-sponsor
edX,Official sponsor: edX supports innovation in education.,sponsor
edX,Sponsored event by edX promoting new technology in education.,sponsor
Dell,Official sponsor: Dell supports innovation in tech.,sponsor
Alibaba,User review: Great experience with Alibaba's latest ecommerce products.,non-sponsor
Nike,Sponsored event by Nike promoting new technology in sports.,sponsor
Levi's,Levi's proudly sponsors this clothes conference.,sponsor
New Balance,New Balance partners with us to bring exclusive offers in sports.,sponsor
Puma,Customer feedback highlights Puma's role in sports growth.,non-sponsor
Dell,Official sponsor: Dell supports innovation in tech.,sponsor
Walmart,Sponsored event by Walmart promoting new technology in ecommerce.,sponsor
Alibaba,Latest trends in ecommerce — Alibaba makes headlines.,non-sponsor
Flipkart,News update: Flipkart launches a new product in ecommerce.,non-sponsor
Amazon,Amazon partners with us to bring exclusive offers in ecommerce.,sponsor
Etsy,Latest trends in ecommerce — Etsy makes headlines.,non-sponsor
